bike_activity_ui,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,fcdba282-2391-48a7-8a35-615bf2999774,1624826510247,-16.8281097,32.6449,0.47732052,0.050643563,0.07928991,0.050052166,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,8007e178-86cd-48d5-9edf-209a6f4fb37b,1624826510281,-16.8281097,32.6449,0.47732052,0.05056274,0.20033073,-0.17874765,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,7d2f33ba-9291-4a29-b1b4-f8d79b40c9da,1624826510314,-16.8281097,32.6449,0.47732052,0.15069604,0.2978859,-0.07104254,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,52ace497-0eac-4163-8661-e6280ca28bd5,1624826510348,-16.8281097,32.6449,0.47732052,0.17443782,-0.028506756,0.05810356,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,0c0f584c-5bd6-456b-b3cf-45d9fbf3311c,1624826510381,-16.8281139,32.6448908,0.49953032,-0.013530374,0.03626871,-0.067148685,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,9809b631-d6b5-4edc-9239-365439fb3154,1624826510420,-16.8281139,32.6448908,0.49953032,-0.1841754,-0.12521887,-0.05232334,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,41613da7-01f8-4891-bbc4-4a91165264d1,1624826510447,-16.8281139,32.6448908,0.49953032,-0.12201458,0.05116701,-0.17177773,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,1a6654c3-2b9a-4edf-b145-14e2b3097998,1624826510481,-16.8281139,32.6448908,0.49953032,0.12169552,0.14851952,-0.09800196,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,f0f61f95-1167-4445-bfa2-1f05a29140da,1624826510514,-16.8281139,32.6448908,0.49953032,0.17282224,0.098757744,-0.066244125,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,1591e833-6b9e-4354-8641-07e0bbca77a2,1624826510548,-16.8281139,32.6448908,0.49953032,0.12358332,0.11274624,-0.12712145,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,347b928c-6640-439c-8ad3-e04c40ddec05,1624826510581,-16.8281139,32.6448908,0.49953032,0.1484145,0.025306225,-0.0016622543,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,e12ff32a-a7c5-4f70-be6d-d5e33d385a20,1624826510615,-16.8281139,32.6448908,0.49953032,0.19223237,0.10921526,0.06661987,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,d184065d-fc22-4e1a-b30c-63e5d0e77780,1624826510648,-16.8281139,32.6448908,0.49953032,0.13936234,0.062737465,0.07990408,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,643c5c09-6b39-4781-b96b-a0b638191429,1624826510681,-16.8281139,32.6448908,0.49953032,-0.01976639,0.05756855,0.008013725,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,d9a5d767-18cd-4dbf-9a39-4e4c6ec709a8,1624826510715,-16.8281139,32.6448908,0.49953032,0.06051743,0.086214066,-0.010603428,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,d972990c-6056-412d-bbba-eda1058e8fe7,1624826510748,-16.8281139,32.6448908,0.49953032,0.15901965,0.092306614,-0.04339552,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,779c28f8-434d-4cc2-9182-5e4ab2413f14,1624826510781,-16.8281139,32.6448908,0.49953032,0.1845563,0.0621562,-0.07388067,other,other,mixed,mixed
